LapNumber,LapTime,Compound
51.0,101.916,MEDIUM
52.0,101.948,MEDIUM
53.0,103.008,MEDIUM
54.0,101.823,MEDIUM
55.0,102.494,MEDIUM
56.0,102.508,MEDIUM
1.0,113.245,HARD
2.0,105.269,HARD
3.0,104.8,HARD
4.0,105.723,HARD
5.0,104.648,HARD
6.0,104.916,HARD
7.0,103.802,HARD
8.0,104.13,HARD
9.0,104.266,HARD
10.0,104.643,HARD
11.0,103.415,HARD
12.0,103.408,HARD
13.0,103.771,HARD
14.0,103.671,HARD
15.0,103.483,HARD
16.0,103.572,HARD
17.0,103.469,HARD
18.0,103.335,HARD
19.0,104.796,HARD
20.0,125.273,MEDIUM
21.0,102.602,MEDIUM
22.0,101.964,MEDIUM
23.0,102.19,MEDIUM
24.0,102.003,MEDIUM
25.0,102.265,MEDIUM
26.0,102.329,MEDIUM
27.0,102.84,MEDIUM
28.0,102.74,MEDIUM
29.0,102.896,MEDIUM
30.0,101.874,MEDIUM
31.0,101.682,MEDIUM
32.0,102.446,MEDIUM
33.0,103.145,MEDIUM
34.0,102.889,MEDIUM
35.0,121.785,MEDIUM
36.0,101.458,MEDIUM
37.0,101.014,MEDIUM
38.0,101.175,MEDIUM
39.0,101.154,MEDIUM
40.0,101.108,MEDIUM
41.0,102.036,MEDIUM
42.0,101.736,MEDIUM
43.0,101.845,MEDIUM
44.0,102.412,MEDIUM
45.0,100.925,MEDIUM
46.0,101.864,MEDIUM
47.0,101.919,MEDIUM
48.0,101.654,MEDIUM
49.0,101.614,MEDIUM
50.0,102.462,MEDIUM
51.0,102.869,MEDIUM
52.0,103.84,MEDIUM
53.0,102.869,MEDIUM
54.0,102.65,MEDIUM
55.0,102.45,MEDIUM
56.0,102.927,MEDIUM
1.0,110.847,MEDIUM
2.0,105.494,MEDIUM
3.0,104.704,MEDIUM
4.0,105.328,MEDIUM
5.0,103.389,MEDIUM
6.0,103.722,MEDIUM
7.0,103.915,MEDIUM
8.0,103.987,MEDIUM
9.0,103.664,MEDIUM
10.0,104.078,MEDIUM
11.0,123.57,HARD
12.0,103.069,HARD
13.0,103.173,HARD
14.0,103.094,HARD
15.0,103.224,HARD
16.0,103.016,HARD
17.0,102.603,HARD
18.0,103.009,HARD
19.0,103.406,HARD
20.0,102.849,HARD
21.0,102.902,HARD
22.0,103.844,HARD
23.0,103.611,HARD
24.0,103.731,HARD
25.0,103.735,HARD
26.0,103.455,HARD
27.0,103.4,HARD
28.0,104.289,HARD
29.0,123.1,HARD
30.0,102.281,HARD
31.0,102.332,HARD
32.0,102.355,HARD
33.0,102.655,HARD
34.0,102.736,HARD
35.0,102.58,HARD
36.0,102.454,HARD
37.0,103.227,HARD
38.0,103.604,HARD
39.0,102.52,HARD
40.0,102.426,HARD
41.0,102.342,HARD
42.0,102.685,HARD
43.0,102.282,HARD
44.0,102.311,HARD
45.0,102.539,HARD
46.0,102.395,HARD
47.0,102.446,HARD
48.0,102.228,HARD
49.0,102.169,HARD
50.0,102.08,HARD
51.0,102.308,HARD
52.0,102.058,HARD
53.0,102.156,HARD
54.0,101.972,HARD
55.0,102.918,HARD
56.0,103.696,HARD
1.0,108.931,MEDIUM
2.0,105.658,MEDIUM
3.0,105.043,MEDIUM
4.0,104.264,MEDIUM
5.0,103.624,MEDIUM
6.0,103.322,MEDIUM
7.0,103.606,MEDIUM
8.0,103.615,MEDIUM
9.0,103.882,MEDIUM
10.0,124.238,HARD
11.0,102.787,HARD
12.0,102.81,HARD
13.0,103.56,HARD
14.0,103.45,HARD
15.0,103.345,HARD
16.0,103.132,HARD
17.0,103.244,HARD
18.0,103.132,HARD
19.0,103.172,HARD
20.0,102.845,HARD
21.0,103.142,HARD
22.0,103.657,HARD
23.0,103.809,HARD
24.0,103.917,HARD
25.0,105.0,HARD
26.0,103.69,HARD
27.0,107.714,HARD
28.0,124.07,HARD
29.0,102.946,HARD
30.0,103.042,HARD
31.0,102.846,HARD
32.0,102.223,HARD
33.0,102.941,HARD
34.0,103.772,HARD
35.0,103.288,HARD
36.0,102.713,HARD
37.0,103.111,HARD
38.0,102.219,HARD
39.0,102.301,HARD
40.0,102.085,HARD
41.0,102.158,HARD
42.0,102.816,HARD
43.0,102.886,HARD
44.0,102.931,HARD
45.0,102.45,HARD
46.0,102.113,HARD
47.0,102.503,HARD
48.0,102.106,HARD
49.0,102.051,HARD
50.0,101.927,HARD
51.0,101.879,HARD
52.0,102.158,HARD
53.0,102.493,HARD
54.0,102.441,HARD
55.0,105.88,HARD
1.0,111.572,MEDIUM
2.0,105.395,MEDIUM
3.0,104.642,MEDIUM
4.0,105.433,MEDIUM
5.0,103.618,MEDIUM
6.0,103.521,MEDIUM
7.0,103.874,MEDIUM
8.0,104.096,MEDIUM
9.0,103.824,MEDIUM
10.0,104.749,MEDIUM
11.0,124.946,HARD
12.0,103.658,HARD
13.0,104.629,HARD
14.0,103.941,HARD
15.0,103.867,HARD
16.0,103.726,HARD
17.0,103.225,HARD
18.0,102.918,HARD
19.0,103.133,HARD
20.0,103.105,HARD
21.0,104.551,HARD
22.0,103.838,HARD
23.0,103.784,HARD
24.0,104.564,HARD
25.0,103.893,HARD
26.0,103.862,HARD
27.0,103.822,HARD
28.0,103.913,HARD
29.0,104.007,HARD
30.0,123.839,MEDIUM
31.0,102.909,MEDIUM
32.0,102.031,MEDIUM
33.0,102.07,MEDIUM
34.0,102.159,MEDIUM
35.0,102.115,MEDIUM
36.0,102.669,MEDIUM
37.0,102.553,MEDIUM
38.0,102.428,MEDIUM
39.0,102.296,MEDIUM
40.0,102.313,MEDIUM
41.0,101.506,MEDIUM
42.0,101.547,MEDIUM
43.0,102.509,MEDIUM
44.0,102.293,MEDIUM
45.0,102.377,MEDIUM
46.0,102.161,MEDIUM
47.0,102.281,MEDIUM
48.0,101.931,MEDIUM
49.0,101.732,MEDIUM
50.0,101.616,MEDIUM
51.0,102.208,MEDIUM
52.0,102.139,MEDIUM
53.0,102.395,MEDIUM
54.0,107.413,MEDIUM
55.0,103.838,MEDIUM
1.0,109.807,MEDIUM
2.0,105.228,MEDIUM
3.0,105.061,MEDIUM
4.0,104.687,MEDIUM
5.0,103.556,MEDIUM
6.0,103.464,MEDIUM
7.0,103.709,MEDIUM
8.0,103.82,MEDIUM
9.0,103.635,MEDIUM
10.0,103.451,MEDIUM
11.0,103.117,MEDIUM
12.0,103.126,MEDIUM
13.0,103.335,MEDIUM
14.0,103.399,MEDIUM
15.0,103.363,MEDIUM
16.0,103.154,MEDIUM
17.0,104.12,MEDIUM
18.0,103.489,MEDIUM
19.0,103.305,MEDIUM
20.0,104.525,MEDIUM
21.0,105.321,MEDIUM
22.0,104.235,MEDIUM
23.0,123.516,HARD
24.0,102.542,HARD
25.0,103.56,HARD
26.0,103.547,HARD
27.0,104.336,HARD
28.0,102.796,HARD
29.0,103.403,HARD
30.0,103.87,HARD
31.0,103.435,HARD
32.0,103.198,HARD
33.0,103.386,HARD
34.0,102.895,HARD
35.0,103.361,HARD
36.0,103.083,HARD
37.0,103.026,HARD
38.0,102.456,HARD
39.0,102.351,HARD
40.0,102.567,HARD
41.0,103.395,HARD
42.0,104.394,HARD
43.0,103.152,HARD
44.0,103.49,HARD
45.0,104.791,HARD
46.0,103.429,HARD
47.0,103.929,HARD
48.0,126.471,SOFT
49.0,99.366,SOFT
50.0,100.658,SOFT
51.0,100.202,SOFT
52.0,103.236,SOFT
53.0,101.577,SOFT
54.0,101.431,SOFT
55.0,102.458,SOFT
1.0,112.441,MEDIUM
2.0,105.424,MEDIUM
3.0,104.736,MEDIUM
4.0,105.467,MEDIUM
5.0,103.792,MEDIUM
6.0,103.668,MEDIUM
7.0,103.581,MEDIUM
8.0,103.679,MEDIUM
9.0,103.775,MEDIUM
10.0,104.591,MEDIUM
11.0,103.152,MEDIUM
12.0,102.559,MEDIUM
13.0,103.108,MEDIUM
14.0,103.334,MEDIUM
15.0,103.152,MEDIUM
16.0,102.79,MEDIUM
17.0,103.818,MEDIUM
18.0,104.156,MEDIUM
19.0,103.648,MEDIUM
20.0,122.272,MEDIUM
21.0,100.987,MEDIUM
22.0,101.588,MEDIUM
23.0,101.49,MEDIUM
24.0,102.185,MEDIUM
25.0,101.83,MEDIUM
26.0,101.817,MEDIUM
27.0,101.931,MEDIUM
28.0,101.657,MEDIUM
29.0,101.658,MEDIUM
30.0,101.669,MEDIUM
31.0,102.061,MEDIUM
32.0,101.893,MEDIUM
33.0,101.561,MEDIUM
34.0,101.89,MEDIUM
35.0,101.329,MEDIUM
36.0,101.875,MEDIUM
37.0,101.905,MEDIUM
38.0,101.359,MEDIUM
39.0,101.419,MEDIUM
40.0,101.376,MEDIUM
41.0,101.637,MEDIUM
42.0,102.303,MEDIUM
43.0,121.406,HARD
44.0,100.839,HARD
45.0,100.376,HARD
46.0,100.443,HARD
47.0,99.954,HARD
48.0,108.118,HARD
49.0,106.528,HARD
1.0,106.169,MEDIUM
2.0,103.799,MEDIUM
3.0,102.929,MEDIUM
